"Country","Age","Gender","Kids","Edu","WorkStatus","Income","Occupation","PositionYrs","PositionMnth","CommSize","MaritalStatus","NumofSons","NumofDaughters","XDP1","XDP2","XDP3","XDP4","XDP5","XAIP1","XAIP2","XAIP3","XAIP4","XAIP5","XAIP6","XAIP7","XAIP8","XAIP9","XAIP10","XAIP11","XAIP12","XAIP13","XAIP14","XAIP15","XGP1","XGP2","XGP3","XGP4","XGP5","XGP6","XGP7","XGP8","XGP9","XGP10","XGP11","XGP12","XGP13","XGP14","XGP15","XGP16","XGP17","XGP18","XGP19","XGP20","XSWLS1","XSWLS2","XSWLS3","XSWLS4","XSWLS5","Yourself","Others","DP_Mean","AIP_Mean","GP_Mean","SWLS_Mean","HDI","Development.Category"
"Ireland",67.5,"Male","Yes Kids","high","retired",45000,"retired",10,6,"Rural/Country","Married",NA,7,4,5,5,4,4,5,1,5,4,4,2,5,5,5,5,2,1,1,1,4,5,4,2,1,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,2,4,4,4,1,"yes","yes",4.4,3.33333333333333,4.45,3,0.923,"Very high human development"
"Ireland",67.5,"Male","Yes Kids","ma","retired",35000,"",0,0,"Small Town","Divorced",NA,1,2,2,4,2,2,3,3,5,3,3,1,2,3,2,2,3,4,3,2,1,3,3,3,4,2,2,2,4,3,2,4,2,3,3,3,2,2,3,2,4,4,4,4,4,4,"no","no",2.4,2.66666666666667,2.8,4,0.923,"Very high human development"
"Ireland",37.5,"Female","Yes Kids","lthigh","full-time",NA,"",6,0,"Rural/Country","Widowed",NA,2,5,5,3,2,3,3,3,4,5,5,5,5,4,3,5,2,4,5,5,5,5,3,3,2,5,3,5,3,5,3,3,5,4,3,4,5,5,4,5,4,3,4,3,4,3,"yes","yes",3.6,4.2,3.95,3.4,0.923,"Very high human development"
"Israel",55,"Female","Yes Kids","deg","full-time",NA,"Journalist",23,0,"Medium-Sized","Married",NA,2,3,4,4,3,3,1,2,4,4,3,2,4,3,2,4,3,3,2,3,2,3,3,3,2,3,2,3,3,4,4,4,3,2,2,4,4,3,4,4,3,3,4,3,3,3,"yes","yes",3.4,2.8,3.15,3.2,0.899,"Very high human development"
"Israel",67.5,"Male","Yes Kids","deg","retired",35000,NA,0,0,"Medium-Sized","Married",NA,2,3,1,1,1,1,1,1,3,2,1,1,1,2,1,2,3,1,3,1,3,2,1,1,1,1,1,1,3,3,1,1,2,1,1,3,3,1,2,1,3,5,5,5,5,5,"no","no",1.4,1.73333333333333,1.65,5,0.899,"Very high human development"
"Italy",45,"Male","Yes Kids","deg","full-time",250000,"Financial Advisor",23,0,"Large-City","Married",NA,1,5,5,5,5,5,1,1,1,5,4,4,2,2,2,3,1,1,1,1,2,2,3,1,5,1,1,4,1,1,1,5,1,1,1,2,3,2,4,5,1,1,1,1,1,1,"no","no",5,2.06666666666667,2.25,1,0.887,"Very high human development"
"Italy",67.5,"Male","Yes Kids","phd","full-time",250000,"free professionist",30,0,"Small City","Married",NA,7,3,2,3,2,2,1,1,2,1,1,4,2,3,2,2,5,5,1,1,1,3,1,3,3,2,2,1,3,3,5,5,1,5,5,4,3,2,3,4,2,1,4,4,3,3,"yes","no",2.4,2.13333333333333,3,3,0.887,"Very high human development"
"Italy",45,"Male","Yes Kids","ma","full-time",55000,"Agronomist",10,0,"Medium-Sized","Married",NA,0,2,2,2,2,3,3,3,3,4,4,4,4,1,1,5,5,5,5,5,5,5,1,5,5,5,1,5,5,1,1,5,2,3,2,1,4,3,4,1,4,4,2,1,2,3,"yes","yes",2.2,3.8,3.15,2.4,0.887,"Very high human development"
"Italy",55,"Male","Yes Kids","deg","full-time",67500,"manager",7,0,"Medium-Sized","Married",NA,1,2,2,4,2,2,2,4,4,2,1,2,2,5,3,2,1,3,4,2,1,2,1,2,1,4,3,3,3,2,2,3,2,3,4,3,2,2,3,2,4,4,4,4,4,4,"yes","no",2.4,2.53333333333333,2.55,4,0.887,"Very high human development"
"Italy",67.5,"Male","Yes Kids","ma","retired",67500,NA,0,0,"Medium-Sized","Married",NA,10,4,3,3,2,2,1,1,2,2,1,4,1,2,1,1,1,1,4,1,2,2,1,2,2,4,2,2,2,3,2,4,2,2,2,2,3,2,3,1,3,4,4,4,4,3,"yes","no",2.8,1.66666666666667,2.3,3.8,0.887,"Very high human development"
"Italy",37.5,"Female","Yes Kids","phd","part-time",250000,"college professor",4,0,"Large-City","Married",NA,0,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,1,5,4,3,3,3,3,3,3,4,4,5,3,4,3,2,5,4,4,4,4,3,3,3,3,3,2,"yes","",4,3.06666666666667,3.55,2.8,0.887,"Very high human development"
"Italy",55,"Male","Yes Kids","ma","full-time",150000,"college professor",23,0,"Large-City","Married",NA,1,4,4,4,4,4,2,3,3,3,3,2,4,4,4,4,5,3,4,2,4,4,3,4,3,2,4,4,4,4,3,3,4,3,4,4,4,4,4,3,4,3,3,4,4,4,"yes","yes",4,3.33333333333333,3.6,3.6,0.887,"Very high human development"
"Italy",45,"Female","Yes Kids","ma","full-time",25000,"coordinatore operativo",10,0,"Medium-Sized","Married",NA,1,1,1,1,1,1,4,5,4,4,3,5,3,4,3,3,3,4,3,5,3,4,2,4,5,4,1,1,1,3,4,1,2,2,2,4,3,3,3,2,1,5,5,5,5,4,"no","yes",1,3.73333333333333,2.6,4.8,0.887,"Very high human development"
"Italy",37.5,"Male","Yes Kids","deg","full-time",55000,"self-employed translator",0,0,"Large-City","Married",NA,0,4,2,5,3,3,2,5,4,1,3,2,5,5,3,3,4,5,3,4,2,4,1,3,4,2,3,3,5,5,4,1,4,1,2,3,4,4,4,3,4,2,3,3,2,4,"yes","yes",3.4,3.4,3.2,2.8,0.887,"Very high human development"
"Italy",37.5,"Male","Yes Kids","deg","full-time",NA,"",10,0,"Rural/Country","Married",NA,1,4,5,5,4,4,3,5,5,5,5,5,5,4,4,5,4,5,2,5,5,5,4,3,2,3,3,3,4,4,5,4,4,4,5,5,5,4,5,4,4,4,4,4,4,3,"yes","yes",4.4,4.46666666666667,4,3.8,0.887,"Very high human development"
"Jamaica",67.5,"Female","Yes Kids","dip","full-time",25000,"manager",14,0,"Small Town","Married",NA,2,4,4,4,3,3,2,1,3,3,3,5,4,3,2,3,5,2,3,2,3,4,2,2,5,5,2,3,3,4,1,3,4,3,3,4,5,5,4,4,3,4,4,5,5,4,"yes","no",3.6,2.93333333333333,3.45,4.4,0.73,"High human development"
"Japan",45,"Male","Yes Kids","ma","full-time",250000,"",1,0,"Village","Divorced",NA,1,3,3,2,3,3,1,1,3,3,3,1,4,3,3,3,4,2,2,2,4,4,4,3,2,4,3,4,3,4,4,3,3,2,2,4,4,3,4,3,4,2,2,2,3,2,"yes","yes",2.8,2.6,3.35,2.2,0.903,"Very high human development"
"Malaysia",32.5,"Male","Yes Kids","phd","full-time",45000,"",3,0,"Village","Married",NA,0,3,2,3,2,2,1,2,4,2,3,1,1,3,2,3,4,3,4,2,2,3,2,4,3,4,3,3,4,4,3,5,3,3,4,3,5,5,4,3,5,3,4,4,3,3,"no","no",2.4,2.46666666666667,3.65,3.4,0.789,"High human development"
"Mexico",67.5,"Female","Yes Kids","ma","part-time",35000,"",5,0,"Medium-Sized","Married",NA,1,2,3,3,2,2,2,2,4,4,2,2,2,3,2,2,4,3,3,3,3,2,2,3,2,4,2,2,3,3,2,3,3,2,2,3,2,2,3,2,4,4,4,4,4,3,"no","no",2.4,2.73333333333333,2.55,3.8,0.762,"High human development"
"Mexico",45,"Male","Yes Kids","deg","full-time",150000,"",5,0,"Village","Married",NA,2,4,4,4,3,3,1,1,2,3,4,4,3,3,2,3,2,2,2,5,4,5,3,3,3,2,2,4,4,4,3,3,4,2,4,4,5,5,4,5,3,4,4,2,3,3,"yes","no",3.6,2.73333333333333,3.6,3.2,0.762,"High human development"
"Mexico",45,"Female","Yes Kids","deg","full-time",25000,"",10,0,"Village","Married",NA,0,1,1,2,1,1,1,1,1,1,1,5,1,1,1,1,2,1,1,1,3,2,1,1,3,3,2,3,1,3,1,3,3,3,1,3,3,1,2,2,2,4,4,4,4,4,"yes","no",1.2,1.46666666666667,2.15,4,0.762,"High human development"
"Netherlands",55,"Female","Yes Kids","ltuni","unemployed",15000," houswife",30,0,"Small Town","Married",NA,1,4,3,2,2,5,1,1,5,2,3,1,2,1,2,2,1,3,4,1,3,3,1,2,4,4,5,3,3,4,2,3,2,2,2,2,4,2,4,3,3,3,3,4,4,3,"yes","yes",3.2,2.13333333333333,2.9,3.4,0.924,"Very high human development"
"Netherlands",37.5,"Male","Yes Kids","ma","full-time",55000," consultant",7,0,"Large-City","Married",NA,1,3,4,3,2,2,3,4,5,4,4,4,4,5,2,4,5,3,4,2,4,4,4,4,5,4,3,4,1,2,4,2,5,4,4,5,2,2,3,4,5,4,4,4,5,2,"yes","yes",2.8,3.8,3.55,3.8,0.924,"Very high human development"
"New Zealand",32.5,"Female","Yes Kids","ltuni","part-time",15000,"",1,0,"Large-City","Married",NA,6,4,4,4,4,4,4,2,3,2,4,5,5,4,5,5,3,3,4,2,5,5,4,4,4,4,3,5,4,5,3,4,5,3,3,4,5,5,4,5,3,2,2,2,2,2,"yes","yes",4,3.73333333333333,4.1,2,0.915,"Very high human development"
"Norway",45,"Male","Yes Kids","ma","unemployed",87500,NA,0,0,"Large Town","Married",NA,0,5,5,5,2,2,1,1,3,3,4,5,3,3,4,4,2,2,2,2,3,4,2,2,1,4,2,5,4,4,4,3,4,1,3,3,5,5,4,3,3,2,2,2,3,2,"yes","yes",3.8,2.8,3.3,2.2,0.949,"Very high human development"
"Norway",28,"Female","Yes Kids","dip","full-time",55000," consultant",1,6,"Large-City","Married",NA,1,2,2,2,1,1,1,1,2,3,1,1,2,3,1,1,1,3,2,1,1,3,1,2,3,3,2,1,2,2,1,3,3,1,3,3,2,2,3,1,3,4,5,5,5,5,"no","no",1.6,1.6,2.2,4.8,0.949,"Very high human development"
"Pakistan",37.5,"Male","Yes Kids","ma","full-time",10000,"",0,0,"Small Town","Married",NA,1,3,4,4,3,3,1,1,4,3,4,4,4,3,2,3,3,3,3,2,2,4,2,2,3,4,3,3,3,3,2,3,3,3,5,3,4,3,3,3,4,4,4,4,4,4,"yes","yes",3.4,2.8,3.15,4,0.55,"Medium human development"
"Philippines",45,"Female","Yes Kids","dip","full-time",87500,"",6,3,"Small Town","Married",NA,4,3,3,3,2,2,3,2,3,3,3,3,3,2,3,3,3,3,4,2,2,3,3,3,3,3,3,2,2,3,4,3,5,3,3,3,5,4,3,3,3,3,3,4,4,3,"yes","yes",2.6,2.8,3.2,3.4,0.682,"Medium human development"
"Philippines",28,"Female","Yes Kids","ltuni","unemployed",10000,"",3,4,"Large-City","Single",NA,0,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,"yes","yes",5,3.13333333333333,3,5,0.682,"Medium human development"
"Poland",32.5,"Male","Yes Kids","ma","full-time",NA,"HR generalist",8,0,"Large-City","Married",NA,1,5,3,3,4,4,2,2,2,4,4,5,5,4,5,5,1,3,4,3,5,5,2,3,4,1,3,3,5,5,3,4,5,4,4,5,4,4,5,5,5,2,3,3,4,2,"yes","yes",3.8,3.6,3.95,2.8,0.855,"Very high human development"
"Portugal",28,"Female","Yes Kids","phd","full-time",15000,"",0,6,"Village","Married",NA,0,3,3,4,3,3,3,2,2,2,4,4,3,4,4,4,2,2,3,1,3,4,2,3,3,3,3,3,4,4,2,4,5,4,4,4,4,4,4,4,4,3,4,3,3,4,"yes","yes",3.2,2.86666666666667,3.6,3.4,0.843,"Very high human development"
"Portugal",32.5,"Female","Yes Kids","ma","part-time",10000,"",10,0,"Small Town","Married",NA,0,5,4,5,4,4,3,2,3,1,4,4,4,5,4,5,2,2,5,1,5,5,1,4,3,4,3,4,5,4,3,5,4,5,4,4,4,4,5,5,5,1,1,1,2,1,"yes","yes",4.4,3.33333333333333,4.05,1.2,0.843,"Very high human development"
"South Korea",45,"Female","Yes Kids","ma","full-time",45000," teacher",5,0,"Medium-Sized","Widowed",NA,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,4,3,1,1,2,2,1,1,4,3,2,2,3,1,1,2,2,1,2,2,1,3,3,3,3,3,"no","no",2,1.6,1.85,3,0.901,"Very high human development"
"Spain",37.5,"Female","Yes Kids","deg","full-time",35000,"",4,6,"Small Town","Single",NA,0,4,4,4,4,4,4,2,5,5,5,5,5,4,4,4,5,3,4,3,5,4,4,4,5,5,2,4,3,4,4,3,4,3,3,5,5,4,5,5,5,3,3,3,3,3,"yes","no",4,4.2,4.05,3,0.884,"Very high human development"
"Sweden",45,"Male","Yes Kids","deg","full-time",55000,"",0,0,"Large Town","Married",NA,2,4,4,4,4,4,2,2,3,3,4,4,4,4,4,4,4,4,4,2,4,5,4,4,5,4,4,5,5,4,3,2,4,4,4,5,5,4,5,4,4,3,2,3,3,3,"yes","yes",4,3.46666666666667,4.2,2.8,0.913,"Very high human development"
"Switzerland",55,"Male","Yes Kids","phd","full-time",250000,"",0,0,"Small Town","Married",NA,1,3,2,2,2,2,1,1,5,3,3,1,3,3,2,3,5,2,2,2,3,4,3,3,4,3,4,3,2,3,1,2,4,2,3,3,4,3,3,3,3,3,4,3,5,2,"yes","no",2.2,2.6,3,3.4,0.939,"Very high human development"
"Switzerland",45,"Female","Yes Kids","dip","full-time",150000,"",3,4,"Medium-Sized","Separated",NA,0,2,2,2,2,2,4,1,5,1,2,1,2,3,1,1,1,1,1,1,5,5,5,3,1,5,3,1,1,1,1,1,1,5,1,3,5,3,5,5,5,3,4,3,5,3,"yes","no",2,2,3,3.6,0.939,"Very high human development"
"Switzerland",55,"Female","Yes Kids","ltuni","full-time",67500,"",6,0,"Small Town","Single",NA,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,3,3,3,3,2,"no","no",1,1.4,1.2,2.8,0.939,"Very high human development"
"Switzerland",80,"Male","Yes Kids","phd","retired",87500,"",0,0,"Large Town","Married",NA,1,4,4,4,2,2,1,1,5,2,2,1,1,3,1,2,1,3,4,1,3,3,2,2,3,3,2,4,3,4,1,4,4,2,2,3,4,4,4,4,5,3,3,4,4,5,"yes","no",3.2,2.06666666666667,3.15,3.8,0.939,"Very high human development"
"Thailand",67.5,"Male","Yes Kids","ltuni","retired",45000,NA,0,0,"Medium-Sized","Married",NA,1,2,2,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,4,4,4,4,3,"no","no",1.8,1.86666666666667,2,3.8,0.74,"High human development"
"United Kingdom",45,"Male","Yes Kids","dip","full-time",NA,NA,5,0,"Small City","Married",NA,1,5,5,3,4,4,1,1,1,3,3,4,2,4,3,4,3,3,3,2,1,5,2,1,2,3,4,5,5,5,1,2,5,2,4,5,4,3,5,5,5,2,2,2,3,1,"yes","yes",4.2,2.53333333333333,3.65,2,0.909,"Very high human development"
"United Kingdom",37.5,"Female","Yes Kids","ma","part-time",10000,"Administrator",6,0,"Medium-Sized","Married",NA,0,5,5,5,5,5,4,4,4,2,2,5,5,4,4,4,3,4,4,3,4,4,4,3,5,3,3,4,2,4,5,2,5,3,3,5,4,2,4,4,4,3,3,3,3,3,"yes","yes",5,3.73333333333333,3.65,3,0.909,"Very high human development"
"United Kingdom",45,"Male","Yes Kids","phd","full-time",55000,"assistant professor",9,0,"Large-City","Divorced",NA,0,3,4,3,3,3,5,1,3,4,5,4,5,5,5,4,2,3,5,3,5,5,4,3,3,5,2,5,3,4,5,4,5,3,2,4,5,4,5,5,3,4,4,3,4,1,"yes","yes",3.2,3.93333333333333,3.95,3.2,0.909,"Very high human development"
"United Kingdom",45,"Male","Yes Kids","ma","full-time",150000,"business",14,0,"Medium-Sized","Married",NA,0,3,4,3,3,4,5,1,4,2,5,5,3,4,4,5,4,1,4,1,5,5,5,5,1,5,2,5,5,5,1,2,4,1,2,3,4,4,3,5,4,2,2,2,3,1,"no","yes",3.4,3.53333333333333,3.55,2,0.909,"Very high human development"
"United Kingdom",55,"Female","Yes Kids","high","retired",10000,NA,0,0,"Large Town","Married",NA,0,2,2,2,2,2,3,1,4,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,2,2,1,1,1,1,2,3,1,2,1,2,2,2,3,3,3,3,3,"no","no",2,1.4,1.65,3,0.909,"Very high human development"
"United Kingdom",45,"Male","Yes Kids","deg","full-time",87500,"engineer",8,0,"Medium-Sized","Married",NA,0,3,3,2,2,2,4,1,3,2,4,4,4,5,3,3,4,2,5,1,4,4,3,4,1,4,2,5,3,5,2,3,5,4,3,5,5,4,4,4,5,2,3,2,2,2,"yes","no",2.4,3.26666666666667,3.75,2.2,0.909,"Very high human development"
"United Kingdom",45,"Female","Yes Kids","grade","full-time",35000,"treatment support co-ordinator",1,0,"Large Town","Single",NA,1,2,3,4,2,2,3,1,4,3,3,3,3,4,2,3,3,1,4,4,3,3,2,4,1,5,3,4,4,3,2,4,3,3,3,3,4,4,2,2,3,4,4,4,5,4,"yes","no",2.6,2.93333333333333,3.1,4.2,0.909,"Very high human development"
"United Kingdom",37.5,"Female","Yes Kids","ma","part-time",45000,"IT security consultant",3,0,"Medium-Sized","Divorced",NA,0,3,3,3,4,4,2,4,4,5,4,5,4,5,4,5,2,4,1,3,5,5,2,2,4,4,3,5,4,5,5,5,5,3,3,3,4,4,5,5,3,2,2,1,1,1,"yes","yes",3.4,3.8,3.95,1.4,0.909,"Very high human development"
"United Kingdom",45,"Female","Yes Kids","deg","part-time",35000," teacher",3,8,"Small Town","Separated",NA,0,5,5,5,3,3,3,4,5,5,4,5,5,5,5,5,4,5,5,5,3,4,3,4,1,5,5,5,5,5,5,1,5,4,5,5,5,4,4,5,5,3,3,2,3,3,"yes","yes",4.2,4.53333333333333,4.25,2.8,0.909,"Very high human development"
"United Kingdom",45,"Female","Yes Kids","dip","part-time",25000,"Executive officer",5,0,"Small Town","Married",NA,1,4,4,5,4,4,2,2,4,3,3,1,3,4,2,2,3,3,4,3,2,3,4,5,5,2,5,4,4,3,2,4,3,3,4,4,4,4,4,4,4,2,2,2,2,2,"yes","yes",4.2,2.73333333333333,3.75,2,0.909,"Very high human development"
"United Kingdom",45,"Female","Yes Kids","ma","unemployed",15000,"Journalist",0,1,"Rural/Country","Divorced",NA,2,5,5,3,3,4,4,3,2,3,4,3,4,3,3,3,2,2,3,2,4,4,3,2,4,5,3,4,3,3,3,2,4,4,3,4,2,3,5,4,4,3,2,1,3,2,"yes","no",4,3,3.45,2.2,0.909,"Very high human development"
"United Kingdom",37.5,"Female","Yes Kids","ma","unemployed",10000,"",12,0,"Village","Separated",NA,0,5,5,5,5,5,3,5,2,5,5,5,5,5,5,5,3,5,4,5,5,5,2,5,5,4,3,5,5,5,5,3,5,3,4,5,3,4,5,5,3,1,1,1,2,1,"yes","yes",5,4.46666666666667,4.2,1.2,0.909,"Very high human development"
"United Kingdom",28,"Male","Yes Kids","high","full-time",55000,"",6,1,"Rural/Country","Married",NA,2,3,5,3,3,3,4,3,3,2,4,5,4,5,5,5,5,3,5,2,5,5,4,3,5,4,3,4,2,5,3,4,4,5,4,5,5,5,5,5,4,4,4,5,4,2,"yes","yes",3.4,4,4.2,3.8,0.909,"Very high human development"
"United Kingdom",55,"Male","Yes Kids","ma","part-time",10000,"",12,0,"Large Town","Married",NA,1,2,1,2,1,1,1,1,4,1,1,2,1,3,2,2,4,2,2,1,2,2,2,2,1,1,2,2,3,2,1,2,3,4,4,2,2,2,2,2,3,3,4,4,4,2,"yes","no",1.4,1.93333333333333,2.2,3.4,0.909,"Very high human development"
"United Kingdom",45,"Male","Yes Kids","ma","full-time",250000,"",6,0,"Small Town","Married",NA,2,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,1,5,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,2,2,2,4,4,"yes","yes",4,3.73333333333333,3.75,2.8,0.909,"Very high human development"
"United Kingdom",45,"Male","Yes Kids","deg","full-time",67500,"",0,0,"Medium-Sized","Married",NA,1,4,4,2,3,3,1,1,3,3,4,3,2,4,4,4,3,3,3,1,2,4,3,2,2,3,3,4,2,4,2,4,4,2,2,4,3,3,4,4,3,3,4,3,3,3,"yes","no",3.2,2.73333333333333,3.1,3.2,0.909,"Very high human development"
"United Kingdom",45,"Male","Yes Kids","dip","full-time",55000,"",6,0,"Medium-Sized","Divorced",NA,3,4,4,4,3,3,2,4,4,4,3,3,3,3,3,3,2,3,2,4,4,3,2,3,3,3,3,4,3,3,3,2,3,3,4,4,2,3,3,3,2,2,2,2,4,2,"yes","yes",3.6,3.13333333333333,2.95,2.4,0.909,"Very high human development"
"United Kingdom",45,"Male","Yes Kids","deg","full-time",250000,"",1,6,"Rural/Country","Married",NA,2,3,4,4,3,3,2,2,4,4,4,2,4,4,4,4,4,3,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,"yes","yes",3.4,3.53333333333333,3.85,2.8,0.909,"Very high human development"
"United Kingdom",55,"Male","Yes Kids","ma","full-time",87500,"",1,0,"Large Town","Married",NA,1,3,3,2,2,1,1,1,3,1,1,1,2,1,1,2,4,1,1,1,1,2,4,2,1,2,2,3,2,2,1,1,1,1,2,2,5,2,1,2,2,4,4,3,4,2,"no","no",2.2,1.46666666666667,2,3.4,0.909,"Very high human development"
"United Kingdom",67.5,"Male","Yes Kids","deg","retired",55000,"",1,0,"Large Town","Married",NA,3,4,2,4,3,3,1,1,5,2,4,1,4,3,5,3,4,3,3,1,3,4,2,3,1,3,2,3,4,4,2,3,4,1,4,5,4,4,3,5,4,4,4,4,4,2,"yes","yes",3.2,2.86666666666667,3.25,3.6,0.909,"Very high human development"
"United Kingdom",55,"Male","Yes Kids","dip","full-time",67500,"",5,0,"Rural/Country","Married",NA,1,5,4,4,4,4,2,2,2,1,4,4,4,5,4,4,3,2,2,1,4,4,2,2,4,3,2,4,4,4,1,2,4,2,2,4,4,3,4,5,4,2,1,1,2,1,"yes","yes",4.2,2.93333333333333,3.2,1.4,0.909,"Very high human development"
"United Kingdom",32.5,"Female","Yes Kids","deg","unemployed",10000,"",1,2,"Village","Married",NA,0,3,3,3,2,3,2,2,3,2,2,2,2,5,2,3,3,3,3,3,2,4,2,2,3,4,4,4,4,3,3,2,3,2,2,4,2,2,3,3,3,4,4,4,4,4,"yes","yes",2.8,2.6,2.95,4,0.909,"Very high human development"
"United Kingdom",55,"Female","Yes Kids","high","full-time",15000,"",0,6,"Medium-Sized","Separated",NA,0,4,3,3,3,3,1,4,4,5,4,3,3,3,3,5,2,4,4,4,3,4,4,3,4,3,4,4,4,4,3,4,4,2,3,4,5,5,4,4,3,2,2,2,2,2,"yes","no",3.2,3.46666666666667,3.75,2,0.909,"Very high human development"
"United Kingdom",45,"Male","Yes Kids","deg","full-time",55000,"",0,6,"Large Town","Married",NA,2,5,5,3,3,3,1,1,1,3,4,3,1,3,3,3,1,2,1,2,1,5,1,1,2,3,2,5,3,5,1,2,5,2,3,4,4,1,5,3,2,4,4,4,4,2,"yes","no",3.8,2,2.95,3.6,0.909,"Very high human development"
"United Kingdom",55,"Male","Yes Kids","ma","full-time",35000,"",1,0,"Village","Single",NA,0,4,4,3,3,3,2,3,3,4,4,3,3,3,3,4,2,3,2,3,3,3,2,5,3,3,3,3,4,4,3,3,4,2,4,3,3,3,4,3,4,3,3,3,2,2,"yes","no",3.4,3,3.3,2.6,0.909,"Very high human development"
"United Kingdom",55,"Male","Yes Kids","ltuni","unemployed",25000,"",0,6,"Small Town","Separated",NA,1,4,4,4,4,4,2,2,2,4,4,3,3,4,4,5,1,2,4,4,4,4,5,1,3,3,2,4,3,3,3,4,4,2,4,3,4,4,5,4,4,1,1,1,1,1,"yes","no",4,3.2,3.45,1,0.909,"Very high human development"
"United Kingdom",45,"Female","Yes Kids","ma","full-time",67500,"",0,0,"Medium-Sized","Married",NA,1,4,4,5,4,4,1,3,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,5,3,5,5,5,3,5,5,4,5,4,5,5,5,5,4,5,3,3,3,3,3,2,"yes","yes",4.2,4.26666666666667,4.55,2.8,0.909,"Very high human development"
"United States",28,"Female","Yes Kids","dip","full-time",45000,"special education teacher",10,0,"Large-City","Married",NA,1,4,4,4,5,5,4,4,5,5,4,4,4,4,5,5,5,5,4,4,5,4,4,2,4,5,4,4,3,4,4,5,4,3,4,4,4,4,4,4,5,2,4,2,3,2,"yes","yes",4.4,4.46666666666667,3.95,2.6,0.92,"Very high human development"
"United States",55,"Female","Yes Kids","deg","full-time",45000,"election services",23,0,"Large-City","Married",NA,2,1,1,1,1,1,2,2,2,1,1,4,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,3,1,2,1,2,1,1,2,1,1,2,2,3,3,2,"no","no",1,1.73333333333333,1.35,2.4,0.92,"Very high human development"
"United States",55,"Female","Yes Kids","deg","full-time",35000,"manager",13,0,"Small Town","Single",NA,1,4,3,4,3,3,3,1,3,1,3,5,1,3,3,3,3,1,3,1,3,3,2,3,5,4,3,3,4,3,2,4,3,4,5,3,4,4,4,4,4,2,3,3,3,2,"yes","yes",3.4,2.46666666666667,3.55,2.6,0.92,"Very high human development"
"United States",80,"Female","Yes Kids","ma","retired",45000,NA,0,0,"Medium-Sized","Widowed",NA,1,5,5,4,3,3,1,2,5,3,4,1,1,3,2,4,1,2,1,1,1,3,4,2,5,2,1,3,3,4,4,3,4,1,1,3,4,2,5,1,4,1,2,1,3,3,"yes","no",4,2.13333333333333,2.95,2,0.92,"Very high human development"
"United States",32.5,"Male","Yes Kids","ltuni","full-time",45000,"Computer Operator",5,4,"Large-City","Married",NA,0,2,2,3,2,2,1,1,5,1,2,3,2,2,1,2,4,1,3,1,2,2,1,1,3,2,3,3,3,3,1,1,2,2,1,1,4,3,3,2,3,2,3,2,2,2,"no","yes",2.2,2.06666666666667,2.2,2.2,0.92,"Very high human development"
"United States",55,"Female","Yes Kids","deg","unemployed",250000," houswife",23,0,"Large Town","Married",NA,1,3,2,1,1,1,1,1,1,4,1,3,2,3,1,2,4,2,3,1,3,5,1,1,1,1,1,4,2,5,1,3,4,1,1,4,3,1,5,5,5,4,5,4,5,4,"yes","no",1.6,2.13333333333333,2.7,4.4,0.92,"Very high human development"
"United States",45,"Female","Yes Kids","phd","full-time",150000,NA,3,0,"Large-City","Married",NA,1,4,3,2,2,2,1,1,1,3,2,1,1,2,2,4,2,2,2,2,2,4,2,2,5,2,3,3,3,4,3,3,4,2,3,3,5,3,5,3,3,3,4,4,4,3,"yes","no",2.6,1.86666666666667,3.25,3.6,0.92,"Very high human development"
"United States",45,"Female","Yes Kids","ma","full-time",25000," acupuncturist",5,8,"Small City","Married",NA,0,3,3,4,3,3,3,2,5,4,3,4,3,4,4,4,4,4,3,4,4,4,3,4,3,5,4,3,4,4,4,4,4,3,4,5,4,3,4,4,4,2,3,3,2,1,"yes","yes",3.2,3.66666666666667,3.85,2.2,0.92,"Very high human development"
"United States",45,"Female","Yes Kids","deg","unemployed",NA,"home maker",17,0,"Large Town","Married",NA,2,3,2,3,3,3,3,3,3,2,3,3,3,4,2,3,3,3,4,2,2,2,3,3,3,2,3,3,4,3,2,4,3,3,3,3,3,2,4,3,4,3,4,5,3,2,"","",2.8,2.86666666666667,3,3.4,0.92,"Very high human development"
